subject,condition,phase,feature_type,body_part,channel,type,metric,axis,data
VP_01,ftsst,talk,generic,Head,gyr,mean,mean,z,0.012203043080460003
VP_01,ftsst,talk,generic,Head,gyr,mean_crossing,mean_crossing,norm,964.0
VP_01,ftsst,talk,generic,Head,gyr,std,std,norm,20.106424754268293
VP_01,ftsst,talk,generic,Head,gyr,std,std,x,17.992444144070628
VP_01,ftsst,talk,generic,Head,gyr,std,std,y,18.358324494618746
VP_01,ftsst,talk,generic,Head,gyr,std,std,z,12.37992027066301
VP_01,ftsst,talk,generic,Head,vel,abs_energy,abs_energy,norm,104.39110269142803
VP_01,ftsst,talk,generic,Head,vel,abs_max,abs_max,x,0.282442
VP_01,ftsst,talk,generic,Head,vel,abs_max,abs_max,y,0.451075
VP_01,ftsst,talk,generic,Head,vel,abs_max,abs_max,z,0.379758
VP_01,ftsst,talk,generic,Head,vel,cov,cov,norm,0.9502938228973189
VP_01,ftsst,talk,generic,Head,vel,cov,cov,x,-431.460665302002
VP_01,ftsst,talk,generic,Head,vel,cov,cov,y,236.92257308089998
VP_01,ftsst,talk,generic,Head,vel,cov,cov,z,-216.42646053364726
VP_01,ftsst,talk,generic,Head,vel,entropy,entropy,norm,9.463508639855458
VP_01,ftsst,talk,generic,Head,vel,entropy,entropy,x,9.785642438628393
VP_01,ftsst,talk,generic,Head,vel,entropy,entropy,y,9.792191752814814
VP_01,ftsst,talk,generic,Head,vel,entropy,entropy,z,9.790259072481403
VP_01,ftsst,talk,generic,Head,vel,fft_aggregated_centroid,fft_aggregated_centroid,norm,884.048987247515
VP_01,ftsst,talk,generic,Head,vel,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,13.643879249188178
VP_01,ftsst,talk,generic,Head,vel,fft_aggregated_skew,fft_aggregated_skew,norm,2.650548413295644
VP_01,ftsst,talk,generic,Head,vel,fft_aggregated_variance,fft_aggregated_variance,norm,1324825.5697705094
VP_01,ftsst,talk,generic,Head,vel,max_val,max_val,norm,0.5137349138310535
VP_01,ftsst,talk,generic,Head,vel,mean,mean,norm,0.055202325602672825
VP_01,ftsst,talk,generic,Head,vel,mean,mean,x,-9.051047164046434e-05
VP_01,ftsst,talk,generic,Head,vel,mean,mean,y,0.00020097661241042167
VP_01,ftsst,talk,generic,Head,vel,mean,mean,z,-0.00020698544525304157
VP_01,ftsst,talk,generic,Head,vel,mean_crossing,mean_crossing,norm,814.0
VP_01,ftsst,talk,generic,Head,vel,std,std,norm,0.0524584290297865
VP_01,ftsst,talk,generic,Head,vel,std,std,x,0.03905170831079273
VP_01,ftsst,talk,generic,Head,vel,std,std,y,0.04761589614135984
VP_01,ftsst,talk,generic,Head,vel,std,std,z,0.04479712729809681
VP_01,ftsst,talk,generic,LeftForeArm,acc,abs_energy,abs_energy,norm,5770.7062611155025
VP_01,ftsst,talk,generic,LeftForeArm,acc,cov,cov,norm,1.0520407122707902
VP_01,ftsst,talk,generic,LeftForeArm,acc,entropy,entropy,norm,9.437046361197835
VP_01,ftsst,talk,generic,LeftForeArm,acc,max_val,max_val,norm,6.706037045315512
VP_01,ftsst,talk,generic,LeftForeArm,acc,mean,mean,norm,0.39008170230189887
VP_01,ftsst,talk,generic,LeftForeArm,acc,std,std,norm,0.41038183193349204
VP_01,ftsst,talk,generic,LeftForeArm,gyr,abs_energy,abs_energy,norm,4223468.247101422
VP_01,ftsst,talk,generic,LeftForeArm,gyr,cov,cov,norm,0.9722093084394389
VP_01,ftsst,talk,generic,LeftForeArm,gyr,entropy,entropy,norm,9.445277645044479
VP_01,ftsst,talk,generic,LeftForeArm,gyr,max_val,max_val,norm,130.77757482696197
VP_01,ftsst,talk,generic,LeftForeArm,gyr,mean,mean,norm,10.982600390004258
VP_01,ftsst,talk,generic,LeftForeArm,gyr,std,std,norm,10.677386330032752
VP_01,ftsst,talk,generic,LeftForeArm,vel,abs_energy,abs_energy,norm,47.455615467128005
VP_01,ftsst,talk,generic,LeftForeArm,vel,cov,cov,norm,0.8530602392729097
VP_01,ftsst,talk,generic,LeftForeArm,vel,entropy,entropy,norm,9.498177263289874
VP_01,ftsst,talk,generic,LeftForeArm,vel,max_val,max_val,norm,0.3227283884538204
VP_01,ftsst,talk,generic,LeftForeArm,vel,mean,mean,norm,0.039062482759950924
VP_01,ftsst,talk,generic,LeftForeArm,vel,std,std,norm,0.03332265088979765
VP_01,ftsst,talk,generic,LeftHand,acc,abs_energy,abs_energy,norm,6109.018036400041
VP_01,ftsst,talk,generic,LeftHand,acc,abs_max,abs_max,x,4.216488
VP_01,ftsst,talk,generic,LeftHand,acc,abs_max,abs_max,y,3.314765
VP_01,ftsst,talk,generic,LeftHand,acc,abs_max,abs_max,z,4.7162
VP_01,ftsst,talk,generic,LeftHand,acc,cov,cov,norm,1.0264784909688176
VP_01,ftsst,talk,generic,LeftHand,acc,cov,cov,x,-224.8050628775974
VP_01,ftsst,talk,generic,LeftHand,acc,cov,cov,y,-77.58248442193144
VP_01,ftsst,talk,generic,LeftHand,acc,cov,cov,z,-267.97987660303687
VP_01,ftsst,talk,generic,LeftHand,acc,entropy,entropy,norm,9.461679665167301
VP_01,ftsst,talk,generic,LeftHand,acc,fft_aggregated_centroid,fft_aggregated_centroid,norm,2396.3509109548004
VP_01,ftsst,talk,generic,LeftHand,acc,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,6.315954286686332
VP_01,ftsst,talk,generic,LeftHand,acc,fft_aggregated_skew,fft_aggregated_skew,norm,1.0383912776684503
VP_01,ftsst,talk,generic,LeftHand,acc,fft_aggregated_variance,fft_aggregated_variance,norm,5590001.685872187
VP_01,ftsst,talk,generic,LeftHand,acc,max_val,max_val,norm,5.754943206514292
VP_01,ftsst,talk,generic,LeftHand,acc,mean,mean,norm,0.4065119504442445
VP_01,ftsst,talk,generic,LeftHand,acc,mean,mean,x,-0.0014169814454752518
VP_01,ftsst,talk,generic,LeftHand,acc,mean,mean,y,-0.004158919948891728
VP_01,ftsst,talk,generic,LeftHand,acc,mean,mean,z,-0.0013648264540858845
VP_01,ftsst,talk,generic,LeftHand,acc,mean_crossing,mean_crossing,norm,2932.0
VP_01,ftsst,talk,generic,LeftHand,acc,std,std,norm,0.41727577345279887
VP_01,ftsst,talk,generic,LeftHand,acc,std,std,x,0.31854460294645287
VP_01,ftsst,talk,generic,LeftHand,acc,std,std,y,0.32265934214695235
VP_01,ftsst,talk,generic,LeftHand,acc,std,std,z,0.36574602475049567
VP_01,ftsst,talk,generic,LeftHand,gyr,abs_energy,abs_energy,norm,4111581.6338479053
VP_01,ftsst,talk,generic,LeftHand,gyr,abs_max,abs_max,x,88.09231904578
